source	target
तीन का पहाड़ा सब मिलकर बोलो	ᱯᱮ ᱨᱮᱱᱟᱜ ᱯᱟᱦᱟᱲᱟ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱯᱮ
शुभ प्रभात	ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ
चलो हम सब मिलकर एक नया पौधा लगाएँ	ᱫᱮᱞᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱣᱟ ᱫᱟᱨᱮᱵᱚ ᱨᱚᱦᱚᱭᱟ
साँप ज़मीन के बिल में रहता है	ᱵᱤᱧ ᱫᱚ ᱦᱟᱥᱟ ᱵᱷᱩᱜᱟᱹᱜ ᱨᱮᱭ ᱛᱟᱦᱮᱸᱱᱟ
फिर से कोशिश करो	ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱫᱷᱟᱣ ᱠᱩᱨᱩᱢᱩᱴᱩᱭ ᱢᱮ
आपस में झगड़ा मत करो	ᱟᱯᱱᱟᱨ ᱛᱟᱞᱟ ᱨᱮ ᱟᱞᱚᱯᱮ ᱛᱚᱯᱚᱲᱟ
गाय हमें दूध देती है	ᱜᱟᱹᱭ ᱫᱚ ᱛᱚᱣᱟᱭ ᱮᱢᱟᱵᱚᱱᱟ
संख्या सात	ᱮᱭᱟᱭ
दूसरों को क्षमा करना सीखो	ᱮᱴᱟᱜ ᱦᱚᱲ ᱤᱠᱟᱹ ᱠᱟᱠᱚ ᱪᱮᱫ ᱢᱮ
हल्का	ᱨᱟᱣᱟᱞ
दस उँगली गिनकर बताओ	ᱜᱮᱞ ᱠᱟᱹᱴᱩᱵ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
पानी	ᱫᱟᱜ
बस्ते में पेंसिल रखो	ᱛᱷᱟᱹᱞᱤ ᱨᱮ ᱯᱮᱱᱥᱤᱞ ᱫᱚᱦᱚᱭ ᱢᱮ
दस	ᱜᱮᱞ
हरी पत्ती / साग	ᱟᱲᱟᱜ
अट्ठारह	ᱜᱮᱞ ᱤᱨᱟᱹᱞ
यहाँ पाँच सेब हैं	ᱱᱚᱸᱰᱮ ᱢᱚᱬᱮ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ
काला	ᱦᱮᱸᱫᱮ
मुझे तीन पेंसिल दो	ᱤᱧ ᱯᱮ ᱯᱮᱱᱥᱤᱞ ᱮᱢᱟᱹᱧ ᱢᱮ
आज आपने क्या नया सीखा?	ᱛᱮᱦᱮᱧ ᱟᱢ ᱪᱮᱫ ᱱᱟᱣᱟ ᱠᱟᱛᱷᱟᱢ ᱪᱮᱫ ᱠᱮᱫᱟ?
मुझे दो सेब दो	ᱤᱧ ᱵᱟᱨ ᱥᱮᱣ ᱮᱢᱟᱹᱧ ᱢᱮ
यह महुआ का पेड़ है	ᱱᱚᱣᱟ ᱫᱚ ᱢᱟᱛᱠᱚᱢ ᱫᱟᱨᱮ ᱠᱟᱱᱟ
सूरज पूरब से निकलता है	ᱥᱤᱧ ᱪᱟᱸᱫᱚ ᱫᱚ ᱥᱟᱢᱟᱝ ᱠᱷᱚᱱᱮ ᱨᱟᱠᱟᱵ-ᱟ
पाँच किताब गिनकर बताओ	ᱢᱚᱬᱮ ᱯᱩᱛᱷᱤ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
सोलह	ᱜᱮᱞ ᱛᱩᱨᱩᱭ
दोपहर का समय	ᱛᱤᱠᱤᱱ ᱚᱠᱛᱚ
हमने गणित का खेल पूरा कर लिया	ᱟᱵᱚ ᱞᱮᱠᱷᱟ ᱮᱱᱮᱡᱵᱚ ᱯᱩᱨᱟᱹᱣ ᱠᱮᱫᱟ
पुराना	ᱢᱟᱨᱮ
देखो	ᱧᱮᱞ ᱢᱮ
यह कितने रुपये हैं?	ᱱᱚᱣᱟ ᱫᱚ ᱛᱤᱱᱟᱹᱜ ᱴᱟᱠᱟ ᱠᱟᱱᱟ?
कल हम सब फिर मिलेंगे	ᱜᱟᱯᱟ ᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚᱵᱚ ᱧᱟᱯᱟᱢᱟ
दो में से एक निकाल लो	ᱵᱟᱨᱭᱟ ᱠᱷᱚᱱ ᱢᱤᱫᱴᱟᱝ ᱚᱰᱚᱠ ᱢᱮ
चींटी	ᱢᱩᱡᱽ
पीला केला	ᱥᱟᱥᱟᱝ ᱠᱟᱭᱨᱟ
बड़ा	ᱢᱟᱨᱟᱝ
चार सेब	ᱯᱩᱱ ᱥᱮᱣ
उँगली	ᱠᱟᱹᱴᱩᱵ
मुर्गा	ᱥᱟᱺᱰᱤ ᱥᱤᱢ
अपने सहपाठी के साथ मिलकर पढ़ो	ᱟᱢᱨᱮᱱ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱜᱟᱛᱮ ᱥᱟᱶ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱯᱟᱲᱦᱟᱣ ᱢᱮ
जीभ से स्वाद का पता चलता है	ᱟᱞᱟᱝ ᱛᱮ ᱥᱤᱵᱤᱞ ᱵᱟᱰᱟᱭᱚᱜ-ᱟ
मोर	ᱢᱟᱨᱟᱜ
मधुमक्खी	ᱧᱮᱞᱮ
मुझे पाँच पेंसिल दो	ᱤᱧ ᱢᱚᱬᱮ ᱯᱮᱱᱥᱤᱞ ᱮᱢᱟᱹᱧ ᱢᱮ
लड़के गेंद से खेल रहे हैं	ᱠᱚᱲᱟ ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱵᱚᱞ ᱛᱮᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ
जाओ	ᱪᱟᱞᱟᱜ ᱢᱮ
मेज साफ़ करो	ᱴᱮᱵᱩᱞ ᱥᱟᱯᱷᱟᱭ ᱢᱮ
चार	ᱯᱩᱱ
लाल टमाटर	ᱟᱨᱟᱜ ᱵᱤᱞᱟᱹᱛᱤ
बस्ते में स्लेट रखो	ᱛᱷᱟᱹᱞᱤ ᱨᱮ ᱥᱞᱮᱴ ᱫᱚᱦᱚᱭ ᱢᱮ
बिल्ली दूध पी रही है	ᱯᱩᱥᱤ ᱛᱳᱣᱟᱭ ᱧᱩᱭᱮᱫᱟ
तीन पेंसिल गिनकर बताओ	ᱯᱮ ᱯᱮᱱᱥᱤᱞ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
कम और ज़्यादा की पहचान करो	ᱠᱚᱢ ᱟᱨ ᱵᱟᱹᱲᱛᱤ ᱪᱤᱱᱦᱟᱹᱣ ᱢᱮ
कौन सी रस्सी लंबी है और कौन सी छोटी?	ᱚᱠᱟᱴᱟᱜ ᱫᱚᱣᱨᱤ ᱡᱤᱞᱤᱧᱟ ᱟᱨ ᱚᱠᱟᱴᱟᱜ ᱠᱷᱟᱴᱚᱣᱟ?
कबूतर	ᱯᱚᱛᱟᱢ
जागो	ᱵᱮᱨᱮᱫ ᱢᱮ
कुर्सी	ᱢᱟᱹᱪᱤ
भेड़	ᱵᱷᱤᱰᱤ
चलो (कदम बढ़ाओ)	ᱛᱟᱲᱟᱢ ᱢᱮ
हरी घास	ᱦᱟᱹᱨᱤᱭᱟᱹᱲ ᱜᱷᱟᱥ
अपने सिर को छुओ	ᱟᱢᱟᱜ ᱵᱚᱦᱚᱜ ᱡᱚᱴᱮᱫ ᱢᱮ
दो हाथ गिनकर बताओ	ᱵᱟᱨ ᱛᱤ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
चार सेब गिनकर बताओ	ᱯᱩᱱ ᱥᱮᱣ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
सब बच्चे सीधे खड़े हो जाओ	ᱡᱚᱛᱚ ᱜᱤᱫᱽᱨᱟᱹ ᱥᱚᱡᱷᱮ ᱛᱤᱸᱜᱩᱱ ᱯᱮ
यह मेरा छोटा भाई है	ᱱᱩᱭ ᱫᱚ ᱤᱧᱤᱡ ᱵᱚᱠᱚᱧ ᱠᱚᱲᱟ ᱠᱟᱱᱟᱭ
बोलो	ᱨᱚᱲ ᱢᱮ
बस्ते से रबर निकालो	ᱛᱷᱟᱹᱞᱤ ᱠᱷᱚᱱ ᱨᱚᱵᱚᱨ ᱚᱰᱚᱠ ᱢᱮ
सौ	ᱥᱟᱭ
तीन पेंसिल	ᱯᱮ ᱯᱮᱱᱥᱤᱞ
सब मिलकर प्रार्थना गाओ	ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱵᱤᱱᱛᱤ ᱥᱮᱨᱮᱧ ᱯᱮ
मुझे दो पैर दो	ᱤᱧ ᱵᱟᱨ ᱡᱟᱸᱜᱟ ᱮᱢᱟᱹᱧ ᱢᱮ
बैठो	ᱫᱩᱲᱩᱵ ᱢᱮ
स्वागत है	ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ
क्या तुम्हें समझ आया?	ᱟᱢ ᱫᱚᱢ ᱵᱩᱡᱷᱟᱹᱣ ᱠᱮᱫᱟ?
बैंगन	ᱵᱮᱸᱜᱟᱲ
चॉक	ᱪᱚᱠ
एक कदम पीछे हटो	ᱢᱤᱫ ᱛᱟᱲᱟᱢ ᱛᱟᱭᱚᱢ ᱛᱮ ᱦᱤᱡᱩᱜ ᱢᱮ
अपना किताब दिखाओ	ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱩᱫᱩᱜ ᱢᱮ
बारह	ᱜᱮᱞ ᱵᱟᱨ
डॉक्टर बीमार लोगों का इलाज करते हैं	ᱰᱟᱠᱛᱚᱨ ᱫᱚ ᱨᱩᱣᱟᱹ ᱦᱚᱲ ᱠᱚᱭ ᱨᱟᱱ ᱠᱚᱣᱟ
मुझे पाँच किताब दो	ᱤᱧ ᱢᱚᱬᱮ ᱯᱩᱛᱷᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
पेट	ᱞᱟᱡ
मुझे चार सेब दो	ᱤᱧ ᱯᱩᱱ ᱥᱮᱣ ᱮᱢᱟᱹᱧ ᱢᱮ
मोर नाच रहा है	ᱢᱟᱨᱟᱜ ᱮᱱᱮᱡ ᱠᱟᱱᱟᱭ
खट्टा	ᱡᱚᱡᱚ
हाथ ऊपर उठाओ	ᱟᱢᱟᱜ ᱛᱤ ᱪᱮᱛᱟᱱ ᱛᱩᱞ ᱢᱮ
चाचा बाज़ार से नई किताबें लाए हैं	ᱠᱟᱠᱟ ᱫᱚ ᱵᱟᱡᱟᱨ ᱠᱷᱚᱱ ᱱᱟᱣᱟ ᱯᱩᱛᱷᱤ ᱠᱚᱭ ᱟᱹᱜᱩ ᱟᱠᱟᱫᱟ
धान पकने पर पीला हो जाता है	ᱦᱳᱲᱳ ᱵᱤᱞᱤ ᱞᱮᱱᱠᱷᱟᱱ ᱥᱟᱥᱟᱝ ᱜᱮ ᱧᱮᱞᱚᱜ-ᱟ
हाथों से ताली बजाओ	ᱛᱤ ᱛᱮ ᱛᱷᱟᱹᱭᱟᱹᱲ ᱢᱮ
खोलो	ᱡᱷᱤᱡᱽ ᱢᱮ
छह से दस तक गिनो	ᱛᱩᱨᱩᱭ ᱠᱷᱚᱱ ᱜᱮᱞ ᱫᱷᱟᱹᱵᱤᱡ ᱞᱮᱠᱷᱟᱭ ᱢᱮ
पहाड़ बहुत ऊँचा है	ᱵᱩᱨᱩ ᱫᱚ ᱟᱹᱰᱤ ᱩᱥᱩᱞ ᱜᱮᱭᱟ
कक्षा का मॉनिटर कौन है?	ᱪᱟᱱᱟᱪ ᱨᱤᱱᱤᱡ ᱢᱩᱠᱷᱤᱭᱟᱹ ᱫᱚ ᱚᱠᱚᱭ ᱠᱟᱱᱟᱭ?
फूल पर तितली बैठी है	ᱵᱟᱦᱟ ᱨᱮ ᱯᱤᱯᱤᱲᱤᱭᱟᱹᱝ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟ
हम सब मिलकर एक समान हैं	ᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱥᱚᱢᱟᱱ ᱜᱮᱭᱟᱵᱚ
हम सब मिलकर अपने बड़ों का आदर करेंगे	ᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱢᱟᱨᱟᱝ ᱦᱚᱲ ᱠᱚᱵᱚ ᱢᱟᱱᱟᱣ ᱠᱚᱣᱟ
सवाल को ध्यान से सुनो	ᱠᱩᱠᱞᱤ ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ
गलती होने पर क्षमा माँगो	ᱵᱷᱩᱞ ᱞᱮᱠᱷᱟᱱ ᱤᱠᱟᱹ ᱠᱷᱚᱡᱽ ᱢᱮ
यह कौन सा रंग है?	ᱱᱚᱣᱟ ᱫᱚ ᱚᱠᱟ ᱨᱚᱝ ᱠᱟᱱᱟ?
गाय	ᱜᱟᱹᱭ
मीठा पीला आम खाओ	ᱦᱮᱲᱮᱢ ᱥᱟᱥᱟᱝ ᱩᱞ ᱡᱚᱢ ᱢᱮ
पेड़ पर पीला आम है	ᱫᱟᱨᱮ ᱨᱮ ᱥᱟᱥᱟᱝ ᱩᱞ ᱢᱮᱱᱟᱜ-ᱟ
कोहड़ा (पीला कद्दू)	ᱠᱟᱠᱷᱟᱨᱩ
बहुत अच्छा प्रयास किया	ᱟᱹᱰᱤ ᱢᱚᱡᱽ ᱠᱩᱨᱩᱢᱩᱴᱩ
यह बड़ा पत्थर है और वह छोटा कंकड़ है	ᱱᱚᱣᱟ ᱫᱚ ᱢᱟᱨᱟᱝ ᱫᱷᱤᱨᱤ ᱠᱟᱱᱟ ᱟᱨ ᱦᱟᱱᱟ ᱫᱚ ᱦᱩᱰᱤᱧ ᱜᱤᱴᱤᱞ ᱠᱟᱱᱟ
दस और पाँच मिलकर पंद्रह होते हैं	ᱜᱮᱞ ᱟᱨ ᱢᱚᱬᱮ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱜᱮᱞ ᱢᱚᱬᱮ ᱦᱩᱭᱩᱜ-ᱟ
पीठ	ᱫᱮᱭᱟ
पाँच किताब	ᱢᱚᱬᱮ ᱯᱩᱛᱷᱤ
पिताजी खेत में काम करते हैं	ᱵᱟᱵᱟ ᱫᱚ ᱠᱷᱮᱛ ᱨᱮᱭ ᱠᱟᱹᱢᱤᱭᱟ
कुर्सी यहाँ लाओ	ᱢᱟᱹᱪᱤ ᱱᱚᱸᱰᱮ ᱟᱹᱜᱩᱭ ᱢᱮ
कान	ᱞᱩᱛᱩᱨ
दो	ᱵᱟᱨ
कुत्ता दरवाज़े पर बैठा है	ᱥᱮᱛᱟ ᱫᱩᱣᱟᱹᱨ ᱨᱮ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟᱭ
शुभ संध्या	ᱥᱟᱹᱜᱩᱱ ᱛᱟᱹᱨᱟᱹᱥᱤᱧ
दो सेब	ᱵᱟᱨ ᱥᱮᱣ
आम का फल मीठा होता है	ᱩᱞ ᱡᱚ ᱫᱚ ᱦᱮᱲᱮᱢ ᱜᱮᱭᱟ
संख्या पचास	ᱵᱟᱨ ᱤᱥᱤ ᱜᱮᱞ
किसके पास पेंसिल नहीं है?	ᱚᱠᱚᱭ ᱴᱷᱮᱱ ᱯᱮᱱᱥᱤᱞ ᱵᱟᱹᱱᱩᱜ-ᱟ?
आज देर से आने का क्या कारण था?	ᱛᱮᱦᱮᱧ ᱵᱤᱞᱚᱢ ᱛᱮ ᱦᱤᱡᱩᱜ ᱨᱮᱱᱟᱜ ᱪᱮᱫ ᱠᱟᱨᱚᱱ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ?
संख्या नौ	ᱟᱨᱮ
सफेद चॉक से लिखो	ᱯᱩᱸᱰ ᱪᱚᱠ ᱛᱮ ᱚᱞ ᱢᱮ
छोटा	ᱦᱩᱰᱤᱧ
हमेशा सच बोलो	ᱡᱟᱣᱜᱮ ᱥᱟᱹᱨᱤ ᱠᱟᱛᱷᱟ ᱨᱚᱲ ᱢᱮ
एक पेंसिल गिनकर बताओ	ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
यहाँ दो पेंसिल हैं	ᱱᱚᱸᱰᱮ ᱵᱟᱨ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ-ᱟ
गोल	ᱜᱩᱞᱟᱹᱭ
यहाँ दो आँख हैं	ᱱᱚᱸᱰᱮ ᱵᱟᱨ ᱢᱮᱫ ᱢᱮᱱᱟᱜ-ᱟ
उत्तर देने से पहले हाथ उठाओ	ᱛᱮᱞᱟ ᱮᱢ ᱢᱟᱬᱟᱝ ᱨᱮ ᱛᱤ ᱛᱩᱞ ᱢᱮ
खरगोश	ᱠᱩᱞᱟᱹᱭ
रोटी (पीठा)	ᱯᱤᱴᱷᱟᱹ
चौदह	ᱜᱮᱞ ᱯᱩᱱ
हमेशा नई बातें सीखते रहो	ᱡᱟᱣᱜᱮ ᱱᱟᱣᱟ ᱠᱟᱛᱷᱟ ᱪᱮᱫᱚᱜ ᱛᱮᱜᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ
सफेद दूध	ᱯᱩᱸᱰ ᱛᱳᱣᱟ
किस टोकरी में ज़्यादा आम हैं?	ᱚᱠᱟ ᱴᱩᱠᱨᱤ ᱨᱮ ᱵᱟᱹᱲᱛᱤ ᱩᱞ ᱢᱮᱱᱟᱜ-ᱟ?
एक सेब गिनकर बताओ	ᱢᱤᱫ ᱥᱮᱣ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
इस पैटर्न को आगे बढ़ाओ	ᱱᱚᱣᱟ ᱛᱷᱟᱨ-ᱛᱚᱦᱚᱨ ᱞᱟᱦᱟ ᱛᱮ ᱤᱫᱤ ᱢᱮ
यहाँ आओ और इसे देखो	ᱱᱚᱸᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ ᱟᱨ ᱱᱚᱣᱟ ᱧᱮᱞ ᱢᱮ
लहसुन	ᱨᱟᱹᱥᱩᱬ
यहाँ पाँच पेंसिल हैं	ᱱᱚᱸᱰᱮ ᱢᱚᱬᱮ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ-ᱟ
मुझे पेंसिल दो	ᱤᱧ ᱯᱮᱱᱥᱤᱞ ᱮᱢᱟᱹᱧ ᱢᱮ
पीला केला मीठा है	ᱥᱟᱥᱟᱝ ᱠᱟᱭᱨᱟ ᱫᱚ ᱦᱮᱲᱮᱢ ᱜᱮᱭᱟ
सफेद	ᱯᱩᱸᱰ
आगे आकर सबको पढ़कर सुनाओ	ᱥᱟᱢᱟᱝ ᱛᱮ ᱦᱮᱡ ᱠᱟᱛᱮ ᱥᱟᱱᱟᱢ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱟᱧᱡᱚᱢ ᱟᱠᱚ ᱢᱮ
हरा	ᱦᱟᱹᱨᱤᱭᱟᱹᱲ
दाल	ᱫᱟᱹᱞ
गर्दन	ᱦᱚᱴᱚᱜ
अस्सी	ᱯᱩᱱ ᱤᱥᱤ
उन्नीस	ᱜᱮᱞ ᱟᱨᱮ
तीन किताब	ᱯᱮ ᱯᱩᱛᱷᱤ
चलो हम सब मिलकर बीस तक उल्टी गिनती करें	ᱫᱮᱞᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱤᱥᱤ ᱠᱷᱚᱱ ᱩᱞᱴᱟᱹᱣ ᱞᱮᱠᱷᱟᱭ ᱵᱚ
बिल्ली दूध पीती है	ᱯᱩᱥᱤ ᱫᱚ ᱛᱚᱣᱟᱭ ᱧᱩᱭᱟ
मेरी माँ मुझे प्यार करती है	ᱤᱧ ᱟᱭᱳ ᱫᱚ ᱤᱧᱮ ᱫᱩᱞᱟᱹᱲᱟᱹᱧᱟ
केंदु (तेंदू)	ᱛᱤᱨᱤᱞ
चलो, हम सब मिलकर गोल घेरा बनाएँ	ᱫᱮᱞᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱜᱩᱞᱟᱹᱭ ᱵᱮᱱᱟᱣᱟᱵᱚ
क्या आपके पास स्लेट है?	ᱪᱮᱫ ᱟᱢ ᱴᱷᱮᱱ ᱥᱞᱮᱴ ᱢᱮᱱᱟᱜ-ᱟ?
एक सेब	ᱢᱤᱫ ᱥᱮᱣ
ताज़ा हरा अमरूद खाओ	ᱵᱤᱞᱤ ᱦᱟᱹᱨᱤᱭᱟᱹᱲ ᱟᱢᱨᱩᱫᱽ ᱡᱚᱢ ᱢᱮ
बिल्ली	ᱯᱩᱥᱤ
कल मंगलवार है	ᱜᱟᱯᱟ ᱫᱚ ᱵᱟᱞᱮ ᱢᱟᱦᱟᱸ ᱠᱟᱱᱟ
संख्या आठ	ᱤᱨᱟᱹᱞ
कटहल	ᱠᱟᱱᱴᱷᱟᱲ
बस्ते से स्लेट निकालो	ᱛᱷᱟᱹᱞᱤ ᱠᱷᱚᱱ ᱥᱞᱮᱴ ᱚᱰᱚᱠ ᱢᱮ
मुझे तीन किताब दो	ᱤᱧ ᱯᱮ ᱯᱩᱛᱷᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
एक	ᱢᱤᱫ
बकरी	ᱢᱮᱨᱚᱢ
हम सब मिलकर अपने समाज को आगे बढ़ाएँगे	ᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱟᱵᱚᱣᱟᱜ ᱥᱟᱶᱛᱟᱵᱚ ᱞᱟᱦᱟᱭᱟ
हँसो	ᱞᱟᱸᱫᱟᱭ ᱢᱮ
मशरूम (कुकुड़मुत्ता)	ᱚᱛ
तेरह	ᱜᱮᱞ ᱯᱮ
गुड़	ᱜᱩᱲ
कछुआ	ᱦᱚᱨᱚ
दाँत	ᱫᱟᱛᱟ
खड़े हो जाओ	ᱛᱤᱸᱜᱩᱱ ᱢᱮ
